iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
DEU,Europe,Germany,30-03-2020,57298,4751,455,66,683.878,56.705,5.431,0.788,,,,,52601,0.628,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,31-03-2020,61913,4615,583,128,738.96,55.082,6.958,1.528,,,,,53557,0.639,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,01-04-2020,67366,5453,732,149,804.044,65.084,8.737,1.778,,,,,54512,0.651,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,02-04-2020,73522,6156,872,140,877.519,73.475,10.408,1.671,,,,,55468,0.662,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,03-04-2020,79696,6174,1017,145,951.208,73.69,12.138,1.731,,,,,56424,0.673,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,04-04-2020,85778,6082,1158,141,1023.8,72.591,13.821,1.683,,,,,57380,0.685,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,05-04-2020,91714,5936,1342,184,1094.649,70.849,16.017,2.196,1370655,,16.359,,58335,0.696,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,06-04-2020,95391,3677,1434,92,1138.536,43.887,17.115,1.098,,,,,57761,0.689,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,07-04-2020,99225,3834,1607,173,1184.296,45.761,19.18,2.065,,,,,57186,0.683,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,08-04-2020,103228,4003,1861,254,1232.074,47.778,22.212,3.032,,,,,56612,0.676,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,09-04-2020,108202,4974,2107,246,1291.441,59.367,25.148,2.936,,,,,56037,0.669,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,10-04-2020,113525,5323,2373,266,1354.973,63.532,28.323,3.175,,,,,55463,0.662,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,11-04-2020,117658,4133,2544,171,1404.302,49.329,30.364,2.041,,,,,54888,0.655,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,12-04-2020,120479,2821,2673,129,1437.972,33.67,31.903,1.54,1750852,,20.897,,54314,0.648,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,13-04-2020,123016,2537,2799,126,1468.253,30.28,33.407,1.504,,,,,53328,0.636,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,14-04-2020,125098,2082,2969,170,1493.102,24.85,35.436,2.029,,,,,52343,0.625,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
DEU,Europe,Germany,15-04-2020,127584,2486,3254,285,1522.774,29.672,38.838,3.402,,,,,51357,0.613,tests performed,73.15,83783945,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33
